PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,PT_MEASURE,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
101154,Andray Blatche,1610612751,BKN,72,39,33,22.1,26.3,24.5,1.5,0.2,0.1,3.2,3.9,1.7,0.056,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203083,Andre Drummond,1610612765,DET,81,29,52,32.3,25.5,13.7,0.4,0.1,0.1,1.2,1.2,0.6,0.017,0.025,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738,Andre Iguodala,1610612744,GSW,63,41,22,32.4,32.6,30.0,4.2,0.4,0.5,7.2,10.2,4.9,0.128,0.15,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Andre Miller,1610612764,WAS,57,32,25,17.0,28.1,28.9,3.4,0.5,0.3,6.1,8.3,4.1,0.12,0.146,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203460,Andre Roberson,1610612760,OKC,40,30,10,10.0,7.1,5.6,0.4,0.1,0.1,1.0,0.8,0.5,0.053,0.074,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200745,Andrea Bargnani,1610612752,NYK,42,15,27,29.9,29.1,29.7,1.1,0.1,0.2,2.8,2.9,1.5,0.037,0.051,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Andrei Kirilenko,1610612751,BKN,44,29,15,19.0,18.6,15.3,1.6,0.2,0.1,2.9,3.7,1.8,0.084,0.098,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101106,Andrew Bogut,1610612744,GSW,66,39,27,26.4,31.7,16.4,1.7,0.2,0.2,3.5,4.4,2.1,0.053,0.067,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101115,Andrew Bynum,1610612754,IND,26,11,15,19.8,14.9,16.9,1.1,0.0,0.2,1.8,2.6,1.3,0.075,0.088,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203094,Andrew Nicholson,1610612753,ORL,76,19,57,15.4,12.9,10.4,0.3,0.0,0.1,0.8,1.0,0.5,0.025,0.038,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,Andris Biedrins,1610612762,UTA,6,0,6,7.4,7.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Antawn Jamison,1610612746,LAC,22,15,7,11.3,16.5,11.8,0.3,0.1,0.1,1.2,1.1,0.6,0.019,0.036,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203461,Anthony Bennett,1610612739,CLE,52,20,32,12.7,15.8,9.5,0.3,0.1,0.0,0.8,0.8,0.4,0.021,0.025,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203076,Anthony Davis,1610612740,NOP,67,29,38,35.2,32.9,31.7,1.6,0.1,0.1,3.0,3.8,1.9,0.048,0.057,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201627,Anthony Morrow,1610612740,NOP,76,32,44,18.8,10.6,14.9,0.8,0.1,0.1,1.3,2.1,1.1,0.073,0.1,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201576,Anthony Randolph,1610612743,DEN,43,15,28,12.3,12.9,11.1,0.7,0.1,0.0,1.9,2.0,0.8,0.058,0.063,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201229,Anthony Tolliver,1610612766,CHA,63,32,31,20.3,18.2,15.5,0.7,0.1,0.1,1.6,1.7,0.9,0.036,0.047,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203462,Archie Goodwin,1610612756,PHX,52,32,20,10.2,9.2,9.9,0.4,0.0,0.1,1.0,1.1,0.5,0.042,0.056,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202620,Arinze Onuaku,1610612739,CLE,5,2,3,6.0,6.4,2.2,0.6,0.0,0.0,0.8,0.4,0.2,0.094,0.031,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203102,Arnett Moultrie,1610612755,PHI,12,0,12,15.6,17.6,10.0,0.2,0.0,0.1,0.8,0.3,0.3,0.009,0.014,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203382,Aron Baynes,1610612759,SAS,53,41,12,9.3,9.2,8.1,0.6,0.0,0.0,1.1,1.6,0.8,0.07,0.082,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201167,Arron Afflalo,1610612753,ORL,73,21,52,35.0,39.7,45.3,3.4,0.3,0.6,7.6,8.1,4.2,0.086,0.105,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201948,Austin Daye,1610612759,SAS,22,16,6,6.7,10.5,8.7,0.4,0.0,0.2,1.0,0.9,0.5,0.034,0.052,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203085,Austin Rivers,1610612740,NOP,69,27,42,19.4,29.3,35.7,2.3,0.3,0.2,4.7,6.0,2.8,0.079,0.096,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202340,Avery Bradley,1610612738,BOS,60,19,41,30.9,28.9,37.7,1.4,0.2,0.3,3.6,3.3,1.9,0.049,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,Ben Gordon,1610612766,CHA,19,8,11,14.7,13.7,16.9,1.1,0.1,0.2,1.8,2.4,1.3,0.081,0.092,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203463,Ben McLemore,1610612758,SAC,81,28,53,26.8,17.6,20.6,1.0,0.1,0.1,2.3,2.6,1.3,0.058,0.072,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,Beno Udrih,1610612763,MEM,41,18,23,15.7,30.6,31.6,2.8,0.3,0.3,6.2,7.1,3.5,0.092,0.113,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203108,Bernard James,1610612742,DAL,30,17,13,4.9,3.0,2.3,0.1,0.0,0.1,0.3,0.4,0.2,0.033,0.078,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202687,Bismack Biyombo,1610612766,CHA,76,41,35,14.0,6.3,4.2,0.1,0.1,0.0,0.5,0.3,0.2,0.017,0.029,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201933,Blake Griffin,1610612746,LAC,80,56,24,35.8,52.9,51.7,3.9,0.4,0.5,8.1,9.7,4.8,0.073,0.091,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,Boris Diaw,1610612759,SAS,79,60,19,25.0,38.9,29.7,2.8,0.3,0.2,5.6,6.9,3.3,0.072,0.084,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
